X,Y,ID,W_GID
75.25077264,27.75198332,336,W_336
75.25077264,27.25198332,337,W_337
75.25077264,26.75198332,338,W_338
75.25077264,26.25198332,339,W_339
75.25077264,25.75198332,340,W_340
75.25077264,25.25198332,341,W_341
75.25077264,24.75198332,342,W_342
75.25077264,24.25198332,343,W_343
75.25077264,23.75198332,344,W_344
75.25077264,23.25198332,345,W_345
75.25077264,22.75198332,346,W_346
75.25077264,22.25198332,347,W_347
75.25077264,21.75198332,348,W_348
75.25077264,21.25198332,349,W_349
75.25077264,20.75198332,350,W_350
75.25077264,20.25198332,351,W_351
75.25077264,19.75198332,352,W_352
75.25077264,19.25198332,353,W_353
75.25077264,18.75198332,354,W_354
75.25077264,18.25198332,355,W_355
75.25077264,17.75198332,356,W_356
75.25077264,17.25198332,357,W_357
75.25077264,16.75198332,358,W_358
75.25077264,16.25198332,359,W_359
75.25077264,15.75198332,360,W_360
75.25077264,15.25198332,361,W_361
75.25077264,14.75198332,362,W_362
75.25077264,14.25198332,363,W_363
75.25077264,13.75198332,364,W_364
75.25077264,13.25198332,365,W_365
75.25077264,12.75198332,366,W_366
75.25786525,12.2578526,367,W_367
75.35998881,11.84953219,368,W_368
75.49824424,11.49405506,369,W_369
75.55675805,36.57183292,370,W_370
75.73838869,36.23195321,371,W_371
75.75077264,35.75198332,372,W_372
75.75077264,35.25198332,373,W_373
75.75077264,34.75198332,374,W_374
75.75077264,34.25198332,375,W_375
75.75077264,33.75198332,376,W_376
75.75077264,33.25198332,377,W_377
75.75077264,32.75198332,378,W_378
75.75077264,32.25198332,379,W_379
75.75077264,31.75198332,380,W_380
75.75077264,31.25198332,381,W_381
75.75077264,30.75198332,382,W_382
75.75077264,30.25198332,383,W_383
75.75077264,29.75198332,384,W_384
75.75077264,29.25198332,385,W_385
75.75077264,28.75198332,386,W_386
75.75077264,28.25198332,387,W_387
75.75077264,27.75198332,388,W_388
75.75077264,27.25198332,389,W_389
75.75077264,26.75198332,390,W_390
75.75077264,26.25198332,391,W_391
75.75077264,25.75198332,392,W_392
75.75077264,25.25198332,393,W_393
75.75077264,24.75198332,394,W_394
75.75077264,24.25198332,395,W_395
75.75077264,23.75198332,396,W_396
75.75077264,23.25198332,397,W_397
75.75077264,22.75198332,398,W_398
75.75077264,22.25198332,399,W_399
75.75077264,21.75198332,400,W_400
75.75077264,21.25198332,401,W_401
