WKT,pid,STATUS
"MULTIPOLYGON (((827319.942336784 1559994.10569732,827344.950212823 1559985.63541933,827403.776024068 1559971.72010116,827382.126926141 1559921.57871409,827368.403976267 1559924.9033016,827359.176609432 1559936.30074101,827331.186537895 1559943.37131477,827322.198772182 1559899.23286081,827294.064208006 1559908.4378701,827319.942336784 1559994.10569732)))",PC92502,TRUE
"MULTIPOLYGON (((827251.192032988 1560485.10090931,827282.373462213 1560459.75825972,827264.390429049 1560432.77227854,827265.678426707 1560426.76478353,827268.000621801 1560421.71846379,827246.964956949 1560391.65315258,827245.521890699 1560390.81133018,827212.204055473 1560402.86485192,827251.192032988 1560485.10090931)))",PC92532,TRUE
"MULTIPOLYGON (((827329.928994087 1560379.40045508,827351.301300462 1560365.95484472,827317.998945656 1560311.38803579,827291.855967941 1560327.88179968,827329.928994087 1560379.40045508)))",PC92533,TRUE
"MULTIPOLYGON (((827085.885900148 1560396.8551707,827098.42199258 1560399.20583494,827111.294025504 1560395.90519574,827175.331640395 1560364.98183258,827174.279970911 1560363.41221656,827147.830508154 1560312.20516463,827107.146608526 1560360.95392925,827106.82724483 1560368.54006105,827103.756130755 1560376.59642256,827088.337232253 1560387.68696119,827086.350417979 1560393.38909579,827085.885900148 1560396.8551707)))",PC92525,TRUE
"MULTIPOLYGON (((827121.201798689 1560050.25686537,827184.646486153 1560041.35453924,827169.080791282 1559958.20906936,827152.934931189 1559962.2551207,827147.000593864 1559975.65158269,827140.767769992 1559994.69752198,827108.754672088 1559996.23401903,827121.201798689 1560050.25686537)))",PC92498,TRUE
"MULTIPOLYGON (((827232.925912575 1560360.82350949,827270.70276063 1560416.29324502,827327.990479099 1560382.21032927,827290.166088668 1560328.79926549,827232.925912575 1560360.82350949)))",PC92527,TRUE
"MULTIPOLYGON (((826858.741668492 1560193.28824928,826855.871692275 1560193.84758129,826835.965613845 1560197.4620424,826829.507957282 1560199.04570817,826830.833197932 1560201.76133601,826834.079476952 1560214.38270537,826827.015202408 1560222.49654098,826855.754375674 1560284.25048217,826879.322826429 1560285.41594865,826858.741668492 1560193.28824928)))",PC92512,TRUE
"MULTIPOLYGON (((827154.255269544 1560312.90976558,827180.862145086 1560365.78470392,827170.47250498 1560373.66304071,827185.15230173 1560408.17419395,827187.587551143 1560407.50854254,827248.076854069 1560387.44419356,827185.5703055 1560295.68237345,827154.255269544 1560312.90976558)))",PC92526,TRUE
"MULTIPOLYGON (((826946.938662699 1560072.1951231,827036.415028132 1560081.35490736,827021.963489428 1560007.8728479,826959.65092908 1560036.11732761,826946.938662699 1560072.1951231)))",PC92495,TRUE
"MULTIPOLYGON (((827074.088631428 1560002.3430357,827082.245905663 1560056.15496167,827119.140314029 1560051.25709181,827107.189370345 1559996.92256854,827074.088631428 1560002.3430357)))",PC92497,TRUE
"MULTIPOLYGON (((827019.498938974 1560390.45665284,827030.970937661 1560446.73508721,827055.277690745 1560452.80736389,827074.419121006 1560407.4392306,827073.54381803 1560405.7389905,827069.183742625 1560400.15630545,827066.124424206 1560393.87603534,827064.363718061 1560385.52106751,827062.866568359 1560379.5138843,827058.100065738 1560381.27798364,827019.498938974 1560390.45665284)))",PC92522,TRUE
"MULTIPOLYGON (((827403.927979394 1560328.45368123,827381.67109525 1560296.26179977,827332.156784432 1560327.33839191,827353.308552413 1560363.40144321,827403.927979394 1560328.45368123)))",PC92537,TRUE
"MULTIPOLYGON (((827286.218117693 1560242.05423455,827328.90366126 1560204.13820742,827316.0695363 1560153.31782888,827266.926363315 1560166.72826958,827286.218117693 1560242.05423455)))",PC92539,TRUE
"MULTIPOLYGON (((826997.645602992 1560449.71509416,826996.459606474 1560450.60055611,827007.417958242 1560478.92056953,827008.060856612 1560483.69116623,827003.037532692 1560486.10174089,826998.803990449 1560486.3628381,826996.064913437 1560492.56285609,826990.864704621 1560517.78972064,826992.126415006 1560521.80033862,827002.053983488 1560511.53798547,827008.478403987 1560515.04663506,827008.690328174 1560521.116664,827053.160197501 1560519.34789652,827043.975180226 1560480.6044831,827058.118005679 1560456.69035815,827025.616117993 1560452.63194293,827019.087228753 1560449.67935835,827011.696489648 1560446.3649218,827005.322485846 1560447.18919015,826997.645602992 1560449.71509416)))",PC92542,TRUE
"MULTIPOLYGON (((827233.042561848 1560040.94275183,827274.647217936 1560029.56038258,827249.912466736 1559925.94106898,827215.608056701 1559930.814327,827214.587663983 1559956.31499955,827221.502783035 1559983.33538044,827233.042561848 1560040.94275183)))",PC92500,TRUE
"MULTIPOLYGON (((827243.02908852 1560480.05790603,827242.153725126 1560478.64007308,827208.970860783 1560402.5117229,827131.73562185 1560433.89707028,827144.396432349 1560495.90859011,827208.06097299 1560517.38823361,827210.472137398 1560518.04683817,827216.161291669 1560507.73544382,827243.02908852 1560480.05790603)))",PC92531,TRUE
"MULTIPOLYGON (((827288.427541347 1560325.53426043,827314.535356995 1560306.98717485,827273.462384277 1560254.09594828,827253.491774822 1560272.10717694,827288.427541347 1560325.53426043)))",PC92534,TRUE
